CompanyName,Name,City,E_Province,Latitude,Longitude,E_NAIC_Name,CO2_eq,E_Units,Symbol,Report_Year,E_DetailPageURL
Canadian Natural Resources Limited,Gordondale Comp Stn 16-10,,Alberta,54.451500000000003,-111.092900000000000,Oil and gas extraction (except oil sands),,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0112231&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Paramount Resources Ltd.,Zama Battery 14-12,Zama City,Alberta,59.067000000000000,-118.875900000000001,Oil and gas extraction (except oil sands),,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0112082&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Baytex Energy Ltd,Seal 13-17-084-18W5,Seal,Alberta,56.289439999999999,-116.819760000000002,Oil and gas extraction (except oil sands),,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0111420&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
General Scrap Partnership,Wheat City Metals,Regina,Saskatchewan,50.522300000000001,-104.640000000000001,All Other Miscellaneous Manufacturing,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0110397&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
CNOOC Petroleum North America ULC,Tsea D-07-I C/S,,British Columbia,59.422899999999998,-122.078100000000006,Oil and gas extraction (except oil sands),,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0110784&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Glencore Canada Corporation,Bracemac-McLeod,Matagami,Quebec,49.414870000000001,-77.417389999999997,Copper-Zinc Ore Mining,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0111336&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Enbridge Gas Inc.,Enbridge Gas Distribution Inc.,North York,Ontario,43.772210000000001,-79.323409999999996,Natural Gas Distribution,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0110109&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Progress Energy Canada Ltd.,Progress Gold Creek 06-03-069-06W6,Grande Prairie,Alberta,54.943399999999997,-118.829890000000006,Oil and gas extraction (except oil sands),,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0111384&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Bonavista Energy Corporation,Nig Creek A-94-B/94-H-4,,British Columbia,57.077080000000002,-121.665620000000004,Oil and gas extraction (except oil sands),,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0110961&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Canadian Natural Resources Limited,Bilbo Compressor Station 06-08-065-09W6,,Alberta,54.608890000000002,-119.325410000000005,Oil and gas extraction (except oil sands),,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0111660&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
